congress_num,icpsr_id,state_code,congressional_district_num,state,party_code,name,dim1,dim2,dim1_se,dim2_se,correlation_dim1_dim2_se,log_likelihood,num_votes,num_classification_errors,geom_mean_prob
50,9685,22,0,INDIANA,100,VOORHEES,-0.417,-0.035,0.0474,0.0452,0.0812,-51.63612,181,22,0.752
50,141,31,0,IOWA,200,ALLISON  W.,0.171,-0.021,0.0371,0.0437,-0.0694,-57.95754,329,27,0.838
50,10234,31,0,IOWA,200,WILSON  J.,0.226,0.079,0.0647,0.0446,0.1841,-73.33453,323,34,0.797
50,7489,32,0,KANSAS,200,PLUMB  P.B.,0.152,1.043,0.081,0.0627,0.2958,-32.6386,185,14,0.838
50,4801,32,0,KANSAS,200,INGALLS  J.,0.098,0.427,0.0257,0.0706,0.3935,-53.62762,278,25,0.825
50,751,51,0,KENTUCK,100,BLACKBURN,-0.679,0.029,0.0755,0.0794,0.1394,-36.92121,219,15,0.845
50,560,51,0,KENTUCK,100,BECK  J.B.,-0.579,-0.022,0.0741,0.0749,0.1394,-31.27901,124,16,0.777
50,3000,45,0,LOUISIA,100,EUSTIS  J.,-0.545,0.035,0.0836,0.0734,0.2236,-42.30851,167,20,0.776
50,3565,45,0,LOUISIA,100,GIBSON  R.,-0.53,-0.336,0.0596,0.0588,0.2973,-37.23502,169,22,0.802
50,3385,2,0,MAINE,200,FRYE  W.P.,0.243,-0.411,0.0544,0.043,-0.0442,-53.86308,299,26,0.835
50,3917,2,0,MAINE,200,HALE  E.,0.179,-0.318,0.0523,0.0398,0.0838,-34.35876,177,17,0.824
50,10217,52,0,MARYLAN,100,WILSON  E.,-0.695,-0.343,0.0594,0.0798,0.098,-56.44613,239,20,0.79
50,3709,52,0,MARYLAN,100,GORMAN  A.,-0.461,-0.504,0.0679,0.0358,0.1401,-50.58471,201,24,0.778
50,2423,3,0,MASSACH,200,DAWES  H.L.,0.199,-0.479,0.0575,0.0466,-0.1081,-49.21799,270,31,0.833
50,4462,3,0,MASSACH,200,HOAR  G.F.,0.132,-0.592,0.039,0.0517,-0.1833,-82.55865,307,40,0.764
50,8957,23,0,MICHIGA,200,STOCKBRIDGE,0.198,-0.246,0.063,0.098,0.1409,-29.72211,308,12,0.908
50,7181,23,0,MICHIGA,200,PALMER  T.,0.22,0.034,0.0644,0.0655,0.2855,-46.79285,283,21,0.848
50,2377,33,0,MINNESO,200,DAVIS  C.K.,0.157,-0.067,0.0688,0.0766,0.0692,-48.13084,292,20,0.848
50,8165,33,0,MINNESO,200,SABIN  D.M.,0.085,-0.065,0.0352,0.0761,0.1196,-24.74324,115,13,0.806
50,9793,46,0,MISSISS,100,WALTHALL,-0.573,0.099,0.0802,0.0877,0.1964,-66.43506,313,38,0.809
50,3532,46,0,MISSISS,100,GEORGE  J.,-0.625,0.28,0.0709,0.0727,0.02,-66.57394,261,35,0.775
50,1892,34,0,MISSOUR,100,COCKRELL,-0.669,0.408,0.089,0.0416,-0.078,-63.03804,305,33,0.813
50,9665,34,0,MISSOUR,100,VEST  G.G.,-0.733,0.407,0.0917,0.0657,0.0089,-60.02843,310,36,0.824
50,7148,35,0,NEBRASK,200,PADDOCK  A.,0.188,0.541,0.0262,0.0953,0.4872,-29.24648,261,13,0.894
50,5951,35,0,NEBRASK,200,MANDERSON,0.138,-0.023,0.038,0.0435,0.1429,-30.336,249,14,0.885
50,5046,65,0,NEVADA,200,JONES  J.P.,0.061,0.14,0.0281,0.0808,0.3477,-17.39971,114,7,0.858
